equipment_code,date_panne,heures_fonct,duree_rep_h
TR-04,2025-10-15,15689,4.6
TR-04,2029-07-06,48312,2.8
TR-01,2029-10-27,51034,3.2
TR-04,2025-07-03,13192,6.0
TR-03,2026-01-11,17788,5.9
TR-01,2028-04-07,37403,3.1
TR-05,2029-09-12,49961,3.3
TR-04,2025-12-18,17225,3.0
TR-05,2026-07-16,22264,3.2
TR-04,2025-01-28,9448,3.3
TR-05,2027-01-07,26464,3.4
TR-03,2027-05-12,29449,4.5
TR-04,2026-07-09,22093,3.4
TR-01,2029-09-20,50143,3.9
TR-03,2027-10-09,33063,5.8
TR-03,2025-02-11,9786,2.8
TR-02,2025-06-30,13124,3.9
TR-04,2028-11-04,42470,5.5
TR-05,2028-08-15,40529,4.8
TR-05,2028-10-26,42262,3.6
TR-02,2024-10-27,7205,2.8
TR-03,2028-06-18,39129,2.9
TR-04,2029-03-27,45893,2.5
TR-02,2024-02-25,1335,2.7
TR-04,2027-07-31,31382,2.6
TR-05,2029-05-08,46919,5.7
TR-05,2029-05-28,47381,4.2
TR-05,2024-06-04,3742,3.0
TR-04,2024-11-21,7803,3.7
TR-02,2026-01-08,17715,3.6
TR-04,2028-08-08,40367,3.9
TR-01,2028-09-28,41568,2.6
TR-02,2024-08-08,5288,4.7
TR-02,2028-01-09,35265,4.2
TR-03,2024-05-08,3088,5.7
TR-04,2024-06-28,4305,5.6
TR-03,2024-03-14,1773,4.9
TR-04,2027-06-08,30100,4.1
TR-03,2028-03-28,37165,4.1
TR-05,2025-08-22,14385,5.1
TR-03,2029-08-22,49461,5.5
TR-03,2028-01-30,35768,2.8
TR-03,2028-11-07,42545,2.7
TR-05,2025-10-26,15949,5.2
TR-02,2028-08-23,40726,4.4
TR-04,2026-05-18,20841,4.6
TR-01,2029-04-03,46069,5.5
TR-04,2024-05-02,2929,5.5
TR-02,2027-03-24,28292,4.5
TR-04,2025-02-20,9992,5.9
TR-02,2026-09-23,23919,5.5
TR-04,2027-11-28,34268,3.6
TR-04,2025-01-17,9179,5.0
TR-05,2024-10-18,6988,3.6
TR-05,2024-06-20,4112,3.2
TR-03,2029-03-22,45769,3.3
TR-02,2028-05-26,38590,5.2
TR-05,2028-02-22,36327,5.8
TR-05,2025-06-13,12697,3.8
TR-01,2026-03-03,19008,3.8
TR-01,2025-05-12,11941,4.8
TR-02,2028-03-15,36842,3.2
TR-03,2029-03-06,45385,4.7
TR-05,2027-09-21,32625,2.9
TR-03,2028-03-17,36904,2.5
TR-03,2024-09-13,6152,3.0
TR-04,2028-04-25,37826,4.2
TR-03,2028-08-28,40846,5.9
TR-05,2024-08-12,5399,5.9
TR-05,2028-10-02,41672,5.9
TR-02,2025-07-31,13857,3.9
TR-04,2024-08-25,5699,2.8
TR-04,2024-07-04,4444,4.4
TR-04,2028-09-17,41312,6.0
TR-01,2025-05-18,12094,5.5
TR-01,2027-12-01,34341,3.6
TR-03,2028-12-22,43631,5.4
TR-05,2025-12-27,17424,3.3
TR-03,2026-12-22,26080,5.3
TR-02,2029-08-29,49612,5.6
TR-05,2027-05-28,29836,5.8
TR-01,2027-11-25,34198,4.3
TR-01,2026-03-09,19172,2.6
TR-01,2027-07-17,31054,3.8
TR-01,2026-04-02,19743,5.9
TR-03,2028-07-30,40143,5.8
TR-04,2027-01-22,26810,5.1
TR-02,2029-08-22,49462,5.0
TR-01,2025-05-02,11691,3.6
TR-04,2028-02-28,36478,3.1
TR-04,2025-08-19,14308,5.0
TR-02,2025-09-17,15004,5.4
TR-01,2029-10-17,50787,5.7
TR-03,2024-01-10,224,4.5
TR-01,2028-08-27,40807,3.7
TR-05,2024-05-22,3415,5.0
TR-01,2027-05-27,29831,4.4
TR-05,2024-10-02,6612,4.2
TR-02,2026-12-11,25812,2.8
TR-05,2025-02-09,9742,4.2
TR-03,2026-02-24,18857,5.3
TR-04,2028-06-19,39159,4.9
TR-05,2025-04-11,11200,5.8
TR-04,2024-10-09,6784,3.1
TR-05,2024-12-10,8268,3.6
TR-01,2028-03-09,36713,4.9
TR-03,2026-04-25,20301,2.8
TR-05,2025-04-19,11389,5.6
TR-01,2027-04-02,28494,3.8
TR-01,2029-04-17,46415,4.8
TR-02,2028-03-20,36969,5.9
TR-04,2027-11-06,33720,4.8
TR-04,2026-05-03,20472,3.8
TR-03,2024-11-03,7382,4.2
TR-05,2028-09-25,41518,2.7
TR-04,2026-11-11,25101,3.4
TR-01,2027-05-14,29501,4.1
TR-05,2027-05-22,29695,3.5
TR-03,2028-01-15,35405,3.9
TR-01,2026-03-14,19280,5.7
TR-01,2027-02-23,27583,5.0
TR-04,2025-09-27,15251,4.0
TR-03,2024-02-21,1246,4.3
TR-05,2026-12-07,25717,2.9
TR-02,2027-05-17,29572,4.6
TR-05,2024-07-01,4374,3.6
TR-01,2025-09-17,15023,4.7
TR-05,2026-05-17,20825,3.4
TR-01,2028-08-12,40444,4.0
TR-03,2029-07-26,48815,2.6
TR-04,2025-11-28,16743,4.7
TR-01,2028-09-11,41174,5.2
TR-05,2027-10-06,32993,6.0
TR-04,2028-07-28,40102,4.8
TR-05,2027-08-23,31926,5.6
TR-01,2025-07-12,13408,3.4
TR-05,2026-11-15,25188,3.4
TR-02,2027-11-01,33604,6.0
TR-04,2027-11-11,33846,3.0
TR-04,2027-07-15,31003,4.3
TR-05,2028-02-07,35969,5.9
TR-03,2027-08-02,31428,5.6
TR-02,2024-08-19,5564,5.3
TR-03,2027-04-15,28823,4.4
TR-03,2029-04-03,46056,4.3
TR-01,2027-06-10,30167,3.5
TR-02,2026-02-08,18473,4.9
TR-05,2026-10-03,24163,2.6
TR-01,2025-08-05,13970,5.9
TR-01,2029-06-21,47969,4.6
TR-04,2028-09-25,41513,2.7
TR-01,2025-02-01,9548,4.8
TR-02,2024-01-23,546,3.2
TR-05,2027-10-12,33141,4.1
TR-05,2026-01-14,17864,3.1
TR-05,2024-08-29,5790,4.5
TR-03,2025-12-09,17006,2.8
TR-04,2027-11-22,34119,2.6
TR-05,2024-02-21,1240,4.5
TR-01,2028-06-18,39128,3.5
TR-02,2024-10-13,6882,4.4
TR-03,2027-11-12,33870,2.7
TR-05,2027-02-15,27396,5.5
TR-05,2026-11-08,25011,4.2
TR-02,2029-03-10,45488,3.2
TR-04,2024-08-13,5421,4.3
TR-01,2027-10-10,33087,4.4
TR-04,2026-09-19,23809,2.8
TR-01,2026-11-25,25420,5.3
TR-02,2024-04-21,2686,3.6
TR-05,2024-09-17,6242,4.5
TR-01,2026-01-28,18211,3.1
TR-04,2027-09-30,32840,4.7
TR-04,2028-04-01,37248,5.8
TR-03,2029-05-01,46744,4.3
TR-01,2024-07-27,5008,3.3
TR-02,2029-01-18,44263,5.1
TR-03,2024-12-27,8679,4.0
TR-03,2024-06-07,3809,4.4
TR-04,2024-11-27,7961,3.1
TR-01,2024-05-13,3210,5.6
TR-02,2024-04-04,2268,4.2
TR-01,2024-04-23,2731,2.9
TR-03,2028-10-07,41794,5.7
TR-02,2027-04-02,28508,4.6
TR-04,2024-01-26,619,3.2
TR-02,2025-01-01,8796,4.3
TR-05,2029-08-17,49334,4.4
TR-03,2026-11-02,24867,2.9
TR-02,2029-07-04,48274,4.7
TR-01,2024-05-03,2961,5.7
TR-01,2027-03-19,28164,3.7
TR-01,2025-12-09,17013,5.0
TR-05,2027-07-03,30697,5.4
TR-04,2027-08-20,31866,6.0
TR-02,2024-11-28,7990,4.1
TR-02,2026-12-02,25587,5.4
TR-05,2026-09-17,23771,2.7
TR-03,2024-02-11,1002,4.2
TR-01,2024-04-05,2281,3.0
TR-03,2026-01-17,17938,2.5
TR-03,2026-08-01,22642,4.9
TR-05,2025-12-03,16871,4.7
TR-05,2026-02-12,18570,5.0
TR-05,2024-12-21,8524,5.8
TR-02,2024-09-10,6092,5.9
TR-03,2026-05-11,20682,5.2
TR-01,2026-12-23,26110,5.7
TR-05,2026-10-29,24774,4.8
TR-03,2025-05-13,11955,5.8
TR-05,2028-10-17,42027,5.6
TR-02,2025-09-28,15284,3.7
TR-05,2026-03-11,19215,3.9
TR-01,2027-09-16,32509,4.7
TR-03,2029-04-10,46237,4.6
TR-04,2025-07-11,13368,2.6
TR-01,2029-05-21,47222,4.7
TR-02,2028-08-01,40190,3.8
TR-01,2027-11-17,33991,5.9
TR-01,2027-03-12,28002,5.6
TR-02,2024-11-01,7341,5.0
TR-01,2027-08-31,32126,3.3
TR-02,2026-04-26,20321,6.0
TR-02,2028-09-25,41516,4.9
TR-01,2027-02-18,27469,4.8
TR-05,2024-03-15,1776,4.3
TR-01,2024-11-14,7640,5.2
TR-03,2024-04-27,2810,3.0
TR-01,2024-08-31,5843,5.7
TR-01,2024-07-22,4887,4.4
TR-04,2024-11-02,7345,3.3
TR-04,2026-11-03,24903,4.0
TR-03,2027-04-04,28547,5.6
TR-04,2026-09-01,23398,4.1
TR-02,2028-04-22,37755,5.1
TR-04,2026-10-14,24416,3.7
TR-03,2024-07-18,4783,2.7
TR-04,2026-04-11,19944,4.1
TR-02,2026-03-25,19541,5.5
TR-03,2025-09-15,14961,4.7
TR-01,2025-04-06,11072,3.3
TR-01,2026-07-12,22164,4.9
TR-03,2024-03-06,1570,5.1
TR-05,2029-03-27,45901,3.9
TR-04,2024-03-08,1619,2.6
TR-03,2028-08-20,40655,4.6
TR-02,2026-05-23,20972,5.7
TR-03,2024-12-22,8565,5.2
TR-03,2025-10-06,15473,3.7
TR-02,2024-05-13,3194,5.9
TR-03,2028-01-05,35174,3.5
TR-04,2028-09-01,40924,4.8
TR-03,2025-11-04,16156,5.0
TR-04,2028-12-19,43555,3.6
TR-04,2029-06-07,47629,3.3
TR-05,2025-09-27,15260,3.1
TR-03,2027-10-24,33419,2.7
TR-02,2028-02-03,35856,5.0
TR-02,2025-01-17,9181,4.9
TR-04,2025-09-04,14707,5.6
TR-03,2029-09-14,49992,3.9
TR-02,2025-08-17,14259,4.3
TR-02,2024-02-06,887,5.6
TR-04,2027-10-06,32999,5.5
TR-02,2025-02-02,9553,5.3
TR-04,2025-09-13,14919,5.7
